시기,지역,모든 암(C00-C96),"입술, 구강 및 인두(C00-C14)",식도(C15),위(C16),대장(C18-C20),간(C22),담낭 및 기타 담도(C23-C24),췌장(C25),후두(C32),폐(C33-C34),유방(C50),자궁경부(C53),자궁체부(C54),난소(C56),전립선(C61),고환(C62),신장(C64),방광(C67),뇌 및 중추신경계(C70-C72),갑상선(C73),호지킨 림프종(C81),"비호지킨 림프종(C82-C86,C96)",다발성 골수종(C90),백혈병(C91-C95),기타 암(R+B4:B28e. C00-C96)
2004-2008,전라남도,521.8,8.6,10.4,88.1,54.6,59.6,16.1,14.5,4.7,71.3,18.3,9.8,2.8,4.1,13.8,0.2,7.5,10.3,4.2,69.9,0.5,8.5,2.8,6.4,34.9
2004-2008,경상북도,492,7.5,9.4,96.7,61.4,51.3,17.7,12.9,4.2,72.3,21.9,9.6,3.2,4.7,12.6,0.2,7.2,9.5,3.8,35.7,0.4,7.4,2.3,5.9,34
2004-2008,경상남도,485.1,7.1,8.9,90.8,54,60.8,20.5,13.7,3.9,68.4,21.3,10.7,2.8,4.5,12.2,0.3,6.9,10.1,4.4,35.5,0.3,7.3,2.1,5.9,32.7
2004-2008,제주특별자치도,441.7,8.9,7.5,71.7,51.1,55.5,20,12.1,4.5,46.6,20.2,12.7,2.8,4.8,14.8,0.2,8,9.9,4.6,38.3,0.6,7.7,2.6,5.8,30.9
2009-2013,전국,548.9,7.3,6.4,81.4,74.1,42.2,15.5,14.3,3.2,61.8,34.9,8.8,4.5,4.9,25.1,0.4,9.9,10.1,4.1,84.6,0.5,9,3.2,6.6,36.2
2009-2013,서울특별시,557.6,7.4,5.7,75.4,77.8,38.3,13.9,14.3,2.7,56.8,41,8.5,5.3,5.4,30.4,0.5,10.6,11.3,4,92,0.6,9.5,3.4,6.9,36.1
2009-2013,부산광역시,564.5,7.3,7.2,85.2,73.6,52.7,18.4,14.6,3.7,58.3,36,10.2,4.3,5.4,24.3,0.5,10.7,12.1,4.6,83,0.6,8.5,2.9,6.1,34.5
2009-2013,대구광역시,578.6,7.4,5.7,82.6,75.7,41.5,18.8,13.6,3.3,65.4,34.2,9.3,4.3,5.2,25,0.4,10.6,9.4,3.9,108.5,0.5,8.1,3,6.4,36
2009-2013,인천광역시,535.6,7.1,6.2,78.2,77.7,40,13.2,14.2,2.9,61.5,37.1,9.6,4.7,5.2,21.1,0.4,10.2,11.7,4.4,74.8,0.5,9,3.2,6.5,36.1
2009-2013,광주광역시,564.2,6.8,5.5,79.3,76.8,43.5,16.8,14.9,3.1,57.9,33.8,9.8,4.2,4.1,26,0.4,8.9,9.8,3.8,103.3,0.4,9.1,3.3,5.8,36.9
2009-2013,대전광역시,566.4,6.4,5.2,89.9,79.9,36.1,13.7,15.1,3.5,59.3,37.4,9.9,4.4,4.8,24.3,0.4,10.4,7.3,4.6,98,0.5,9.2,3.4,6.5,36.1
2009-2013,울산광역시,568.9,7.2,6.2,84.2,75.1,43.3,19.3,16,3.5,66.4,32.9,7.9,4.5,5.2,20.1,0.6,11.6,10.2,4.3,92.9,0.6,9,2.8,6.8,38.3
2009-2013,세종특별자치시,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2013,경기도,534.2,7.1,5.3,77,74.1,38.4,13.1,13.8,3,59.6,37.3,8.6,4.8,5.2,26.3,0.4,10,10.2,3.8,81.6,0.6,9.3,3.4,6.8,34.7
2009-2013,강원도,498.9,7.4,6.9,76,71.7,42.8,14.2,14.5,3.6,64.1,29.9,9.2,4.4,4.7,26.6,0.5,9.5,9.9,4,48,0.6,8.8,2.9,6.3,32.4
2009-2013,충청북도,541.1,7.3,7.3,95,81,37.7,14.7,14.1,3.1,67.7,31.8,8.9,4.4,4.9,22.8,0.5,9.1,9.4,4,62.9,0.3,8.3,3.1,6.5,36.2
2009-2013,충청남도,543,6.6,6.5,92.2,75,37.9,14.2,14.2,3.3,64.7,30.3,8.9,4.3,4.2,24.4,0.4,8.7,8.8,4.9,76.2,0.6,9,3.4,6.5,37.9
2009-2013,전라북도,547.2,7.6,7,82.6,70.6,40.3,17.4,14.5,2.9,62,30.2,8.5,3.9,4,25.4,0.3,8.8,9.2,4,88,0.6,9.1,3.2,6.8,40.3
2009-2013,전라남도,575.5,8.5,9.3,84.1,66.5,53.3,15.2,15.1,3.4,65.9,25.3,8.1,3.7,3.8,22.1,0.3,8.7,8.3,4.2,111.8,0.5,9,3.3,7,38
2009-2013,경상북도,544.6,7.3,7.3,89,71.9,45.7,17.5,14,3.7,68.3,28.8,8.4,3.8,4.5,22,0.3,9.4,9.7,3.9,73.2,0.6,8.5,2.7,6.7,37.3
2009-2013,경상남도,547.5,7.7,7.3,87.8,66.7,52.9,20.8,14.8,3.7,67.1,29.2,8.3,3.9,4.5,19.3,0.3,9.9,10,4.2,74.8,0.4,8.5,2.7,6.5,36.2
2009-2013,제주특별자치도,495.6,9.3,7.3,59.9,67.1,47.9,16.5,13.6,4,59.9,27.3,9.3,3.7,4.5,22.4,0.3,10.4,9.1,4.1,64.9,,7.4,3,7.7,35.9
2014-2018,전국,502.6,7.7,5.7,66.6,62.5,35.1,15.4,15.5,2.7,60.2,43.2,7.3,5.7,5.5,27.8,0.5,10.9,9.9,4,55,0.6,10.1,3.5,7,40
2014-2018,서울특별시,504.2,8.3,5.6,60.8,64.4,31.8,13.7,15.6,2.4,58,50.1,6.8,6.7,6.1,31.4,0.6,11.1,11.3,4.1,53.7,0.7,10.8,3.6,7.1,39.5
